geolocation_city                   geolocation_lat  geolocation_lng
                                   -23.654501       -47.221103           1
                                   -23.656668       -47.222041           1
ibitiúra de minas                  -22.057698       -46.439597           1
pombal                             -6.772671        -37.793342           1
                                   -6.766236        -37.796273           1
poloni                             -20.782757       -49.815722           1
                                   -20.783441       -49.816809           1
                                   -20.786993       -49.815780           1
                                   -20.785823       -49.819168           1
pomerode                           -26.740788       -49.175992           1
                                   -26.823575       -49.163345           1
                                   -26.810903       -49.163050           1
                                   -26.788664       -49.162482           1
                                   -26.782733       -49.164150           1
                                   -26.726516       -49.170819           1
                                   -26.749443       -49.178047           1
                                   -26.735710       -49.176680           1
                                   -26.814508       -49.163962           1
                                   -26.742391       -49.171673           1
                                   -26.743272       -49.170155           1
                                   -26.764601       -49.168087           1
                                   -26.699091       -49.160596           1
                                   -26.752400       -49.180210           1
                                   -26.740170       -49.172850           1
pombos                             -8.142094        -35.397541           1
pompeia                            -22.100735       -50.184637           1
                                   -22.103780       -50.183775           1
                                   -22.109974       -50.170632           1
                                   -22.096760       -50.194174           1
                                   -22.105603       -50.163104           1
                                   -22.108018       -50.169592           1
                                   -22.089794       -50.191076           1
                                   -22.097937       -50.191351           1
                                   -22.089591       -50.188094           1
                                   -22.100720       -50.190174           1
                                   -22.099848       -50.191944           1
                                   -22.105776       -50.163332           1
                                   -22.107810       -50.173617           1
pomerode                           -26.737272       -49.176919           1
                                   -26.686903       -49.175503           1
                                   -26.729966       -49.179750           1
ibitinga                           -21.753991       -48.832556           1
                                   -21.754551       -48.824657           1
ponta de pedras                    -1.398060        -48.868414           1
pongai                             -21.740665       -49.358676           1
pompéu                             -19.229594       -45.013224           1
pompéia                            -22.109208       -50.171683           1
                                   -22.102036       -50.188180           1
pompeu                             -19.220800       -44.986292           1
                                   -19.223688       -45.013376           1
                                   -19.225356       -44.992591           1
                                   -19.228543       -45.001093           1
                                   -19.212371       -45.003155           1
                                   -19.222615       -45.000110           1
pompeia                            -22.108853       -50.158535           1
                                   -22.108858       -50.176115           1
                                   -22.106893       -50.173855           1
ibitinga                           -21.756739       -48.827164           1
ibitiara                           -12.652751       -42.216503           1
ibitita                            -11.547686       -41.977130           1
ibitirama                          -20.530472       -41.667896           1
                                   -20.533931       -41.667147           1
ibitira                            -19.413428       -45.148705           1
ibitinga                           -21.753223       -48.826596           1
                                   -21.746812       -48.817048           1
                                   -21.761915       -48.834887           1
                                   -21.750621       -48.831497           1
                                   -21.757674       -48.829262           1
                                   -21.753556       -48.841186           1
                                   -21.758299       -48.817670           1
                                   -21.751944       -48.836162           1
                                   -21.752590       -48.843537           1
                                   -21.760472       -48.837336           1
ibiruba                            -28.650519       -53.106043           1
                                   -28.629421       -53.087686           1
                                   -28.622923       -53.090159           1
                                   -28.629758       -53.087052           1
                                   -28.627278       -53.089009           1
                                   -28.628697       -53.096678           1
                                   -28.620961       -53.087952           1
                                   -28.624689       -53.097827           1
                                   -28.638773       -53.098440           1
                                   -28.634463       -53.100636           1
ibitinga                           -21.754925       -48.843523           1
                                   -21.734663       -48.814807           1
                                   -21.746573       -48.831206           1
                                   -21.753823       -48.835501           1
                                   -21.758360       -48.815818           1
                                   -21.757264       -48.837017           1
ponta grossa                       -25.058988       -50.169485           1
                                   -25.092824       -50.162466           1
                                   -25.085958       -50.163995           1
ibiruba                            -28.630422       -53.093365           1
                                   -28.635042       -53.104052           1
                                   -28.629852       -53.092401           1
                                   -28.625837       -53.083077           1
                                   -28.625354       -53.090232           1
                                   -28.630080       -53.103950           1
                                   -28.627957       -53.105503           1
ibirité                            -20.022991       -44.056457           1
ibirubá                            -28.547780       -53.171110           1
                                   -28.628847       -53.097273           1
                                   -28.637607       -53.095741           1
ibiruba                            -28.633374       -53.097972           1
                                   -28.635169       -53.092253           1
ponta grossa                       -25.090896       -50.160280           1
                                   -25.128584       -50.144122           1
                                   -25.096433       -50.156383           1
                                   -25.087220       -50.093851           1
                                   -25.088839       -50.162576           1
                                   -25.089007       -50.166938           1
                                   -25.125338       -50.143582           1
                                   -25.096421       -50.203586           1
                                   -25.100046       -50.115063           1
                                   -25.107514       -50.169043           1
                                   -25.099225       -50.159980           1
                                   -25.109010       -50.101924           1
                                   -25.085603       -50.138180           1
                                   -25.071152       -50.161182           1
                                   -25.106862       -50.169781           1
                                   -25.063438       -50.208854           1
                                   -25.089995       -50.160392           1
                                   -25.075575       -50.155889           1
                                   -25.063334       -50.137086           1
                                   -25.098134       -50.157743           1
                                   -25.104897       -50.163247           1
                                   -25.094494       -50.156318           1
                                   -25.097345       -50.171225           1
                                   -25.077099       -50.133097           1
                                   -25.100109       -50.114889           1
                                   -25.115124       -50.169760           1
                                   -25.096269       -50.163543           1
                                   -25.081174       -50.167767           1
                                   -25.107376       -50.169234           1
                                   -25.097177       -50.158198           1
                                   -25.092398       -50.168717           1
                                   -25.083180       -50.139918           1
                                   -25.051140       -50.225087           1
                                   -25.076677       -50.162732           1
                                   -25.076084       -50.133363           1
                                   -25.078570       -50.189344           1
                                   -25.093470       -50.129393           1
                                   -25.093238       -50.169036           1
                                   -25.053719       -50.141508           1
                                   -25.086575       -50.205614           1
                                   -25.092921       -50.162542           1
                                   -25.101259       -50.157370           1
                                   -25.082941       -50.103464           1
                                   -25.095065       -50.158194           1
                                   -25.082473       -50.107352           1
                                   -25.107619       -50.165155           1
                                   -25.072715       -50.173637           1
                                   -25.106894       -50.161088           1
                                   -25.088010       -50.138786           1
                                   -25.097038       -50.157326           1
                                   -25.091390       -50.136646           1
                                   -25.077693       -50.151610           1
                                   -25.070025       -50.155237           1
                                   -25.080135       -50.175932           1
                                   -25.099342       -50.137214           1
                                   -25.103312       -50.159337           1
                                   -25.081181       -50.157836           1
                                   -25.094232       -50.159168           1
                                   -25.070053       -50.150037           1
                                   -25.085132       -50.180474           1
                                   -25.104834       -50.162696           1
                                   -25.127878       -50.150115           1
                                   -25.095630       -50.162992           1
                                   -25.102007       -50.143518           1
                                   -25.101738       -50.158808           1
                                   -25.070789       -50.157835           1
                                   -25.076331       -50.160908           1
                                   -25.101327       -50.161321           1
                                   -25.082557       -50.189918           1
                                   -25.088526       -50.099063           1
                                   -25.090182       -50.162930           1
                                   -25.096451       -50.158001           1
                                   -25.102622       -50.173450           1
                                   -25.121341       -50.154210           1
                                   -25.083438       -50.136573           1
                                   -25.081364       -50.183624           1
                                   -25.074906       -50.155410           1
                                   -25.072096       -50.158929           1
                                   -25.096248       -50.176507           1
                                   -25.091453       -50.158477           1
                                   -25.083030       -50.200786           1
                                   -25.062637       -50.227960           1
                                   -25.091495       -50.162959           1
                                   -25.082103       -50.138906           1
                                   -25.067099       -50.134351           1
                                   -25.099790       -50.178680           1
                                   -25.090440       -50.158882           1
                                   -25.094569       -50.137445           1
                                   -25.107535       -50.160897           1
                                   -25.082670       -50.183542           1
                                   -25.083523       -50.201882           1
                                   -25.070899       -50.145796           1
                                   -25.106928       -50.125374           1
                                   -25.065392       -50.208594           1
                                   -25.095322       -50.160503           1
                                   -25.093498       -50.156083           1
ibirite                            -20.020887       -44.063933           1
                                   -20.023005       -44.060910           1
                                   -20.004176       -44.062119           1
ponta pora                         -22.551735       -55.711084           1
                                   -22.532792       -55.714972           1
                                   -22.521942       -55.708181           1
                                   -22.542239       -55.728737           1
                                   -22.567856       -55.684397           1
                                   -22.507641       -55.723093           1
                                   -22.521194       -55.712323           1
ponta grossa                       -25.108530       -50.171014           1
                                   -25.066221       -50.138540           1
                                   -25.101348       -50.101668           1
                                   -25.100260       -50.103169           1
                                   -25.123842       -50.157456           1
                                   -25.082179       -50.134405           1
ponta pora                         -22.550288       -55.708741           1
                                   -22.545634       -55.726722           1
                                   -22.524677       -55.737055           1
ibirité                            -20.021321       -44.057020           1
                                   -19.988812       -44.056723           1
                                   -20.022296       -44.035020           1
                                   -20.029194       -44.059490           1
                                   -20.031563       -44.059241           1
                                   -20.039999       -44.063575           1
                                   -20.017875       -44.085372           1
ibirite                            -20.021730       -44.058522           1
                                   -20.022720       -44.056754           1
                                   -20.018416       -44.091086           1
                                   -20.032924       -44.063164           1
                                   -19.990663       -44.091188           1
                                   -19.994296       -44.059159           1
pontal do araguaia                 -15.908715       -52.261128           1
pontal                             -21.023564       -48.038861           1
                                   -21.027492       -48.030229           1
                                   -21.014541       -48.037047           1
                                   -21.038205       -48.028908           1
                                   -21.034788       -48.033927           1
                                   -21.018212       -48.034434           1
                                   -21.038607       -48.039219           1
                                   -21.015771       -48.035304           1
                                   -21.027096       -48.036893           1
                                   -21.026106       -48.041778           1
ponta porã                         -22.526104       -55.737752           1
                                   -22.521154       -55.708700           1
                                   -22.538421       -55.727589           1
                                   -22.525949       -55.712099           1
                                   -22.529958       -55.729132           1
pontalina                          -17.505803       -49.446047           1
                                   -17.510799       -49.450639           1
pontal do paraná                   -25.655046       -48.442856           1
                                   -25.645224       -48.451661           1
                                   -25.621204       -48.422083           1
                                   -25.582106       -48.363006           1
                                   -25.700897       -48.481660           1
                                   -25.582068       -48.362930           1
pontal do parana                   -25.622658       -48.423260           1
                                   -25.696379       -48.475384           1
                                   -25.561472       -48.362852           1
                                   -25.695330       -48.477544           1
                                   -25.577980       -48.355032           1
                                   -25.710758       -48.479323           1
                                   -25.692190       -48.470391           1
                                   -25.582140       -48.363073           1
ibirite                            -20.031464       -44.101537           1
                                   -20.041924       -44.054175           1
                                   -20.029895       -44.095144           1
                                   -20.036697       -44.048295           1
                                   -20.022463       -44.033234           1
                                   -20.014243       -44.089025           1
                                   -20.016546       -44.093506           1
                                   -19.979679       -44.062190           1
                                   -20.020572       -44.092999           1
                                   -20.022012       -44.046723           1
                                   -20.025722       -44.061436           1
                                   -20.025941       -44.041710           1
                                   -20.027782       -44.042042           1
                                   -20.011965       -44.095850           1
                                   -20.014273       -44.092866           1
pontalinda                         -20.438207       -50.522467           1
ponte nova                         -20.378410       -42.903489           1
ibirite                            -20.029194       -44.059490           1
                                   -19.979557       -44.064413           1
                                   -20.021396       -44.094593           1
                                   -20.021924       -44.091569           1
ibirataia                          -14.068172       -39.639234           1
                                   -14.070554       -39.640645           1
                                   -14.062050       -39.639740           1
ponte branca                       -16.767871       -52.835517           1
                                   -16.764431       -52.832975           1
ponte alta do tocantins            -10.747347       -47.535371           1
ponte alta do bom jesus            -12.086877       -46.479254           1
ponte alta                         -27.480049       -50.381766           1
                                   -27.482797       -50.382419           1
                                   -27.470580       -50.377038           1
ibirite                            -20.046654       -44.052443           1
ponte nova                         -20.411923       -42.890256           1
                                   -20.420455       -42.913462           1
                                   -20.405702       -42.898139           1
                                   -20.407149       -42.885487           1
                                   -20.411146       -42.891182           1
                                   -20.417265       -42.908208           1
                                   -20.408559       -42.891285           1
                                   -20.387461       -42.903651           1
                                   -20.408638       -42.883251           1
                                   -20.401271       -42.892199           1
                                   -20.410823       -42.889864           1
                                   -20.407470       -42.891874           1
                                   -20.404150       -42.904090           1
                                   -20.403979       -42.889875           1
                                   -20.393714       -42.903420           1
                                   -20.410174       -42.892993           1
                                   -20.411030       -42.895594           1
                                   -20.407406       -42.885300           1
                                   -20.413828       -42.898004           1
                                   -20.403397       -42.889917           1
                                   -20.410153       -42.922460           1
                                   -20.376966       -42.903169           1
                                   -20.405439       -42.890327           1
                                   -20.416731       -42.884635           1
                                   -20.522193       -42.898517           1
                                   -20.417958       -42.908260           1
                                   -20.408047       -42.894063           1
                                   -20.413061       -42.898238           1
                                   -20.412792       -42.898068           1
                                   -20.422988       -42.898103           1
                                   -20.418209       -42.910308           1
                                   -20.402507       -42.893003           1
                                   -20.402468       -42.896133           1
                                   -20.404615       -42.898138           1
                                   -20.419141       -42.907050           1
                                   -20.404301       -42.903198           1
                                   -20.413585       -42.895941           1
                                   -20.418737       -42.913691           1
                                   -20.408463       -42.895888           1
                                   -20.417465       -42.911831           1
                                   -20.408609       -42.894967           1
                                   -20.406874       -42.892260           1
                                   -20.383180       -42.903573           1
                                   -20.404483       -42.900486           1
                                   -20.419758       -42.911515           1
                                   -20.397349       -42.875909           1
                                   -20.409621       -42.895517           1
                                   -20.411608       -42.891787           1
ponte preta                        -27.657015       -52.490894           1
                                   -27.661239       -52.488337           1
ponte nova                         -20.407248       -42.892480           1
ibirarema                          -22.815057       -50.071902           1
                                   -22.814858       -50.072547           1
                                   -22.814921       -50.073674           1
                                   -22.811079       -50.069979           1
                                   -22.809662       -50.071180           1
ibirapua                           -17.686291       -40.106405           1
ibirapitanga                       -14.162466       -39.371925           1
                                   -14.162453       -39.369150           1
                                   -14.162054       -39.373871           1
                                   -14.162027       -39.372615           1
ponte nova                         -20.419965       -42.910075           1
                                   -20.410538       -42.895812           1
                                   -20.409252       -42.895926           1
pontes e lacerda                   -15.228861       -59.335811           1
                                   -15.230550       -59.334959           1
                                   -15.228206       -59.340571           1
                                   -15.238694       -59.324989           1
                                   -15.223785       -59.348295           1
                                   -15.224824       -59.341538           1
                                   -15.234760       -59.325108           1
                                   -15.245547       -59.324494           1
                                   -15.227589       -59.337794           1
                                   -15.246803       -59.327286           1
                                   -15.242938       -59.331444           1
                                   -15.232275       -59.326276           1
ponte serrada                      -26.876461       -52.013631           1
                                   -26.875671       -52.019739           1
                                   -26.870454       -52.015422           1
                                   -26.868510       -52.020427           1
pontes e lacerda                   -15.235519       -59.332048           1
                                   -15.231432       -59.339684           1
ibirama                            -27.057645       -49.522446           1
                                   -27.064219       -49.530695           1
                                   -27.061183       -49.529445           1
                                   -27.056648       -49.512072           1
                                   -27.059988       -49.536338           1
                                   -27.061772       -49.531933           1
                                   -27.060564       -49.539115           1
                                   -27.057411       -49.541157           1
                                   -27.061025       -49.523303           1
                                   -27.054249       -49.519224           1
pontes e lacerda                   -15.244684       -59.325329           1
                                   -15.238999       -59.339550           1
                                   -15.228087       -59.336808           1
                                   -15.230105       -59.331841           1
populina                           -19.943129       -50.537470           1
                                   -19.939613       -50.541463           1
                                   -19.942099       -50.535531           1
                                   -19.944053       -50.537388           1
ponto novo                         -10.861724       -40.125772           1
ponto dos volantes                 -16.751577       -41.503691           1
                                   -16.862214       -41.416896           1
                                   -16.756365       -41.508854           1
                                   -16.748477       -41.507522           1
ponto belo                         -18.119742       -40.541682           1
                                   -18.122909       -40.539781           1
pontes gestal                      -20.185113       -49.698917           1
                                   -20.178990       -49.700846           1
                                   -20.180150       -49.704198           1
pontes e lacerda                   -15.418956       -59.463903           1
                                   -15.232729       -59.335699           1
porangatu                          -13.423268       -49.135093           1
                                   -13.446678       -49.156491           1
                                   -13.434438       -49.139130           1
                                   -13.418481       -49.147195           1
                                   -13.440899       -49.146581           1
                                   -13.448559       -49.139516           1
                                   -13.448050       -49.151090           1
                                   -13.424857       -49.140037           1
                                   -13.439943       -49.139382           1
                                   -13.448057       -49.157848           1
porangaba                          -23.175326       -48.125221           1
                                   -23.175263       -48.122171           1
                                   -23.188715       -48.124980           1
                                   -23.199438       -48.216172           1
                                   -23.174322       -48.124506           1
populina                           -19.942318       -50.540406           1
porciuncula                        -20.969845       -42.045576           1
                                   -20.964865       -42.041412           1
                                   -20.965072       -42.036077           1
                                   -20.962607       -42.041040           1
                                   -20.967837       -42.041104           1
                                   -20.968964       -42.043199           1
                                   -20.967489       -42.038168           1
                                   -20.971689       -42.051017           1
                                   -20.971961       -42.045401           1
                                   -20.972259       -42.041551           1
                                   -20.968632       -42.043191           1
                                   -20.968537       -42.038594           1
porangatu                          -13.452533       -49.145196           1
                                   -13.447172       -49.149510           1
                                   -13.462509       -49.146956           1
                                   -13.427417       -49.144051           1
porciúncula                        -20.971961       -42.045401           1
porciuncula                        -20.962492       -42.041080           1
ibirajuba                          -8.579169        -36.178721           1
ibiraiaras                         -28.369043       -51.636487           1
                                   -28.366403       -51.635134           1
                                   -28.366493       -51.639236           1
                                   -28.366846       -51.638460           1
                                   -28.369164       -51.636528           1
                                   -28.375398       -51.638924           1
ibiracu                            -19.832285       -40.364640           1
                                   -19.852312       -40.409731           1
ibiraci                            -20.468021       -47.126787           1
                                   -20.462979       -47.129019           1
ibiracatu                          -15.668228       -44.165847           1
porciuncula                        -20.963582       -42.044516           1
                                   -20.964870       -42.039949           1
portao                             -29.712943       -51.205313           1
                                   -29.692119       -51.218707           1
                                   -29.691285       -51.234891           1
                                   -29.687979       -51.220955           1
                                   -29.692694       -51.232551           1
portalegre                         -6.025879        -37.987330           1
                                   -6.022770        -37.987037           1
                                   -6.025009        -37.987906           1
porecatu                           -22.757392       -51.371681           1
                                   -22.746384       -51.378534           1
                                   -22.749360       -51.382257           1
                                   -22.749577       -51.383077           1
                                   -22.734715       -51.383992           1
                                   -22.754804       -51.381471           1
                                   -22.751580       -51.372538           1
porciúncula                        -20.964726       -42.043963           1
portelandia                        -17.360022       -52.681771           1
portela                            -22.660775       -43.584013           1
portel                             -1.934715        -50.823215           1
porteirão                          -17.813764       -50.161028           1
porteirinha                        -15.736893       -43.027533           1
                                   -15.749705       -43.035520           1
                                   -15.743544       -43.022355           1
                                   -15.741813       -43.027515           1
                                   -15.749016       -43.032740           1
                                   -15.738279       -43.025270           1
                                   -15.745165       -43.029991           1
                                   -15.740372       -43.036955           1
porteiras                          -7.532889        -39.114518           1
portao                             -29.696688       -51.226713           1
                                   -29.705371       -51.225909           1
                                   -29.690673       -51.234698           1
ibira                              -21.083285       -49.240068           1
                                   -21.083363       -49.231604           1
ibiporã                            -23.270365       -51.051304           1
                                   -23.266965       -51.051910           1
                                   -23.279988       -51.023588           1
                                   -23.276434       -51.041242           1
                                   -23.267942       -51.056744           1
                                   -23.269946       -51.040818           1
ibipora                            -23.235879       -51.065054           1
                                   -23.267394       -51.035697           1
                                   -23.268891       -51.067199           1
                                   -23.269516       -51.060189           1
                                   -23.273198       -51.069991           1
portelandia                        -17.356473       -52.678421           1
                                   -17.353451       -52.675023           1
                                   -17.349412       -52.683503           1
ibiaçá                             -28.060955       -51.858637           1
ibiassuce                          -14.272350       -42.258015           1
                                   -14.271264       -42.254930           1
ibiai                              -16.857081       -44.907249           1
ibipitanga                         -12.877331       -42.483982           1
                                   -12.876524       -42.487914           1
                                   -12.881356       -42.488775           1
                                   -12.882860       -42.487302           1
ibipeba                            -11.637889       -42.009612           1
ibimirim                           -8.540086        -37.688359           1
                                   -8.537513        -37.701588           1
                                   -8.539761        -37.696733           1
ibicui                             -14.844058       -39.988318           1
                                   -14.842727       -39.988711           1
ibicoara                           -13.416228       -41.282522           1
porto                              -3.893418        -42.715990           1
ibia                               -19.502556       -46.551152           1
                                   -19.493452       -46.547599           1
                                   -19.490292       -46.544355           1
                                   -19.482198       -46.540652           1
                                   -19.488968       -46.545864           1
                                   -19.486341       -46.545571           1
ibema                              -25.115525       -53.002966           1
ibicaré                            -27.092946       -51.367651           1
ibicare                            -27.085605       -51.365666           1
                                   -27.092946       -51.367651           1
ibicaraí                           -14.863782       -39.589671           1
ibicarai                           -14.862977       -39.587908           1
                                   -14.866524       -39.586204           1
                                   -14.867403       -39.596577           1
                                   -14.865283       -39.585807           1
                                   -14.866721       -39.587859           1
ibaté                              -21.932207       -48.023926           1
                                   -21.954879       -47.994359           1
ibatiba                            -20.235326       -41.509298           1
                                   -20.228227       -41.510573           1
                                   -20.232533       -41.501820           1
                                   -20.233688       -41.509413           1
                                   -20.239977       -41.509012           1
                                   -20.235447       -41.509158           1
                                   -20.232610       -41.501949           1
                                   -20.233894       -41.506043           1
                                   -20.233949       -41.511323           1
ibateguara                         -8.972312        -35.930786           1
                                   -8.968542        -35.924751           1
ibiaca                             -28.059917       -51.857734           1
                                   -28.058411       -51.855793           1
                                   -28.055840       -51.853540           1
iapu                               -19.438087       -42.211800           1
                                   -19.436835       -42.214752           1
ibateguara                         -8.964316        -35.922273           1
ibate                              -21.958471       -48.015418           1
                                   -21.932207       -48.023926           1
                                   -21.955556       -47.995696           1
                                   -21.951773       -48.003400           1
                                   -21.958538       -48.006999           1
                                   -21.958132       -47.985682           1
ibaiti                             -23.834776       -50.188201           1
                                   -23.847658       -50.191418           1
                                   -23.830278       -50.201613           1
                                   -23.843381       -50.194268           1
                                   -23.845989       -50.187960           1
                                   -23.840352       -50.188147           1
                                   -23.848681       -50.187370           1
iacri                              -21.856586       -50.691628           1
iaciara                            -14.094386       -46.637622           1
                                   -14.098879       -46.636461           1
                                   -14.101043       -46.635305           1
ibaiti                             -23.846906       -50.199223           1
                                   -23.840150       -50.191362           1
                                   -23.831033       -50.183974           1
                                   -23.840178       -50.189577           1
                                   -23.838614       -50.192821           1
                                   -23.854641       -50.194329           1
iati                               -9.045911        -36.845927           1
iaras                              -22.870622       -49.162772           1
                                   -22.874423       -49.161728           1
iapu                               -19.437484       -42.213396           1
                                   -19.435176       -42.210384           1
                                   -19.436655       -42.214644           1
humaitá                            -27.570828       -53.971936           1
                                   -7.506982        -63.026576           1
                                   -7.508774        -63.030968           1
humaita                            -27.569083       -53.971769           1
                                   -7.515145        -63.035905           1
                                   -7.512401        -63.025216           1
                                   -7.520142        -63.024514           1
                                   -7.504543        -63.020659           1
                                   -7.520875        -63.020099           1
iacu                               -12.766623       -40.213663           1
                                   -12.767138       -40.211988           1
                                   -12.765401       -40.208043           1
                                   -12.768153       -40.223663           1
iacri                              -21.861852       -50.692012           1
                                   -21.857601       -50.690008           1
